super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,region,female,k_married,par_mean,par_rank,k_mean,k_median_nozero,k_0inc,k_q1,k_q5,k_top1pc,tier_name,type,iclevel,public,barrons,sat_avg_2013,sat_avg_2001,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000
2277,Lake Michigan College,South Bend,MI,69800,26900,14.014797,0.27820292,9.5012503,0.0,1.3315809,0.0,8.4286432,11.538695,556.0,Midwest,0.53357315,0.50658756,72165.91994061001,0.5304976357258767,30038.93913814261,31300,0.12624806,0.14254844,0.15260042,0.001046431,Two-year (public and private not-for-profit),public,2-year,public,999 - Non-selective,,,5472.0,1920.0,0.1762452107279693,5916.0,,0.020521842,0.17648783,0.025798885,0.036939315
13263,South Hills School Of Business & Technology,State College,PA,63500,29100,13.518418,0.22333917,9.8468981,0.055890139,1.3311448,0.0075554629,4.0658469,3.6954317,175.3333333333333,Northeast,0.69961977,0.58726811,60512.43334868109,0.469360819617605,30079.43887758436,33400,0.14717658,0.15559751,0.13379109,0.00070995523,Two-year for-profit,for-profit,2-year,private,999 - Non-selective,,,16521.0,8673.0,0.5470383275261324,16867.0,0.036600001,0.0018975332,0.0018975332,0.0,0.0
2293,Lake Superior State University,Sault Ste. Marie,MI,75500,35700,8.4555779,0.68894655,15.736085,0.047261264,1.3305769,0.003996213,3.256191,2.8080308,482.3333333333333,Midwest,0.48306841,0.60599256,88844.06646833968,0.5865523787144552,39689.31481621458,38200,0.09190584,0.098374695,0.23119819,0.006663749,Selective public,public,4-year,public,5 - Selective,970.0,,10253.0,4014.0,0.4325699745547073,7064.0,0.081699997,0.0061929594,0.0074967407,0.005541069,0.14276402
2816,Siena College,Albany,NY,116800,61100,3.7499938,2.5998158,35.478165,4.1778526,1.3304291,0.15666921,0.37155065,-0.90069407,648.3333333333334,Northeast,0.53573263,0.66079527,149412.5264861825,0.741739889619283,75221.96860941517,63200,0.061350785,0.067883417,0.5631029,0.054884817,Selective private,private non-profit,4-year,private,3 - Selective,1120.0,,32293.0,14835.0,0.7964148527528808,16011.0,0.3195,0.022269677,0.019829163,0.023489933,0.0042708968
5351,Tennessee College Of Applied Technology - Morristown,Morristown,TN,49300,25000,23.519335,0.18136099,5.6548605,0.10697947,1.3299856,0.025160858,-1.7357637,-2.0909717,136.5,South,0.34065935,0.52133101,62646.96875,0.4187115629514058,28796.27799479167,30200,0.18189661,0.17912769,0.11479612,9.8063274e-06,Two-year (public and private not-for-profit),public,2-year,public,999 - Non-selective,,,,,0.679814385150812,7210.0,,0.0011086474,0.017738359,0.0011086474,0.0
2145,Eastern Nazarene College,Boston,MA,81600,34400,7.5436168,0.61654562,17.62532,0.0,1.3295865,0.0,-1.7672439,-5.7059531,161.0,Northeast,0.57971013,0.67397976,96446.74107142857,0.6180005129079641,40489.18466129658,38800,0.1131834,0.12137201,0.22765574,0.01221815,Selective private,private non-profit,4-year,private,5 - Selective,925.0,1030.0,29012.0,14062.0,0.5850340136054422,17378.0,0.44209999,0.013300084,0.090606816,0.029093932,0.019950125
5311,Tulsa Technology Center School,Tulsa,OK,54500,25000,20.128626,0.33325607,6.5973749,0.0,1.327961,0.0,-4.353024,-7.2927237,398.6666666666667,South,0.41638795,0.43360728,63178.88740789611,0.459854535808332,28961.13833056804,29900,0.15854913,0.18491489,0.14126416,0.0015883092,Two-year (public and private not-for-profit),public,2-year,public,999 - Non-selective,,,,2716.6667,,15078.323,,0.021419913,0.14713,0.027451517,0.0073529412
1513,Pensacola State College,Pensacola,FL,58200,26500,18.33951,0.288715,7.2300801,0.21868253,1.3259612,0.040105306,-3.4952354,-4.9934945,1619.333333333333,South,0.54960889,0.46888578,66050.90429285457,0.4821763696764761,29112.97977361762,30800,0.15040737,0.16701002,0.12973382,0.001563902,Nonselective four-year public,public,4-year,public,999 - Non-selective,,,2704.0,1164.0,,7199.0,,0.039058588,0.15122683,0.025738608,0.0065097646
2869,Jamestown Community College,Erie,NY,59600,27600,15.476563,0.23877198,8.5597582,0.02099219,1.3247563,0.0032488694,1.9958377,1.6906188,810.6666666666666,Northeast,0.50822371,0.5229879,66000.8693333676,0.4867143117896232,30463.11024234169,31300,0.11943362,0.13507785,0.13478829,0.0011612432,Two-year (public and private not-for-profit),public,2-year,public,999 - Non-selective,,,5080.0,2800.0,0.3339145597210114,5354.0,,0.0061865873,0.018064836,0.019054689,0.0032170254
2575,Franklin Pierce University,Keene,NH,86300,39100,7.7550321,1.2240852,17.066034,0.0,1.3234766,0.0,-3.8619497,-12.092547,418.0,Northeast,0.4968102,0.51303923,107246.1930447568,0.6308104680580766,42566.34156324761,42200,0.085311651,0.092135668,0.26194689,0.0076174745,Selective private,private non-profit,4-year,private,4 - Selective,950.0,990.0,31782.0,19080.0,0.4409005628517824,23571.0,0.15279999,0.010073875,0.030221626,0.028206849,0.025520483
